Prey,Classification,Class,Order (Suborder),Family,Genus,Species,Successful Predation,Predator Size,DOI,Observer,Location,State,Biogeogrphic zone,Latitude,Longitude,Source,Notes,Link
Acridotheres tristis,Aves,Aves,Passeriformes,Sturnidae,Acridotheres,tristis,Y,M,HF,Sunanda Vinayachandran,"Bangalore, KA",KA,Deccan Peninsula,12.971599,77.594566,Facebook,,https://www.facebook.com/groups/bngbirds/?post_id=10158932947469349&comment_id=10158933367009349&notif_id=1597140340106698&notif_t=group_comment_mention&ref=notif
Bufo bankorensis,Anura,Amphibia,Anura,Bufonidae,Bufo,bankorensis,Y,L,U,Mao et al. 2008,"Yilan County, Taiwan",-,-,-,-,Literature,,
Calotes sp.,Sauria,Reptilia,Squamata (Iguania),Agamidae,Calotes,-,N,-,TF,Wall 1921,"Faizabad, UP",UP,Gangetic plain,26.77,82.150002,Literature,only tail consumed,
Calotes versicolor,Sauria,Reptilia,Squamata (Iguania),Agamidae,Calotes,versicolor,Y,-,U,Wall 1921,-,-,,-,-,Literature,Reported by Blanford,
Calotes versicolor,Sauria,Reptilia,Squamata (Iguania),Agamidae,Calotes,versicolor,U,M,U,Urmil Jhaveri,"Jamnagar, GJ",GJ,Coast,22.492057,70.07834,India Nature Watch,,http://www.indianaturewatch.net/displayimage.php?id=472328
Calotes versicolor,Sauria,Reptilia,Squamata (Iguania),Agamidae,Calotes,versicolor,Y,-,U,Wall 1921,"Kannur, KL",KL,Coast,11.865216,75.365829,Literature,half-grown lizard,
Calotes versicolor,Sauria,Reptilia,Squamata (Iguania),Agamidae,Calotes,versicolor,Y,M,HF,Nitin Prabhudesai,"Pune, MH",MH,Deccan Peninsula,18.521346,73.824856,India Nature Watch,,http://www.indianaturewatch.net/displayimage.php?id=230486
Chrysopelea ornata,Serpentes,Reptilia,Squamata (Serpentes),Colubridae,Chrysopelea,ornata,Y,-,U,Wall 1921,-,-,-,-,-,Literature,Observed by Flower,
Columba livia,Aves,Aves,Columbiformes,Columbidae,Columba,livia,Y,L,HF,Kalki 2021,"Bangalore, KA",KA,Deccan Peninsula,12.971599,77.594566,Literature,,
Copsychus saularis,Aves,Aves,Passeriformes,Muscicapidae,Copsychus,saularis,Y,M,HF,Akshat Bhargava,"Nagpur, MH",MH,Deccan Peninsula,21.139938,79.025812,Facebook,,https://www.facebook.com/photo?fbid=2478652015490353&set=basw.Abqq9dp0MbrtNF4bSvUbrJfs4pVU5k-sJGU9cjSIgOAJkEEKDynkne2YZyaJQzJ3SCbk1746S57nWGd-PweTOYtK-dPY4hgbCUjdluXhSz8J8gaAZDMBLCcHac5AX8CUSK3KyKTWtbv-Qs49QMb_kdxf&opaqueCursor=Abr_yDrLoEST6MkEFBSft6N02cvipDPCAVJxGkA1GoQ5JEs5-XAl045fzeUj41Q6g8VNGCSz1NRRdPLAV10-kUOvpJIy0UYdWP3-dxXigYXSoJrrbaSZndSJws51DZPFNvXfZB6e1VjkWpISrXjb3DcQSmEoA15g-gQs5Q9A0PXno0sX3GD5ExrJqA5MgjJ7PGXTl_o1sPCAlfZb8ms1dkEVh6WPzSumaBwx7nPhUXzHHqBA2hOSSShDo0wBuUnXTF3LcRbw_DKKHNHdux8xgqFof2rKvkfWO6QyEV-yGaPFfpbUrkVpzwzCC_jUJzbZJii1jOOoYdO-OoJaWNZt2N-4_raynllev8kytOV5MWrcQHponlwdqlPl21Q5P3VK70BJ7mX7GadboCKcXQzHelchAKKXNRDFUMLsyLgT8RgvQnQQp4a6Iny0I_JRvwLs-_MkGfNpvDQ5TzlRPxSZUMYM_UFoYHgv3jFOszCNXkkBirm_1m584iVpO4pWUGpOPsoyrQR5gLNehRWgtjtrqeponhlCeDYPH40WSglVNUYlrUOIvskAAufcxnn_LxtQkfU
